date,product,sum,count
2022-08-01,quota:placement:cars:new,330,1
2022-08-02,quota:placement:cars:new,330,1
2022-08-03,badge,60,3
2022-08-03,boost,450,3
2022-08-03,quota:placement:cars:new,330,1
2022-08-04,badge,60,3
2022-08-04,boost,300,2
2022-08-04,quota:placement:cars:new,330,1
2022-08-05,badge,80,4
2022-08-05,boost,300,2
2022-08-05,quota:placement:cars:new,330,1
2022-08-06,badge,80,4
2022-08-06,quota:placement:cars:new,330,1
2022-08-07,badge,80,4
2022-08-07,quota:placement:cars:new,330,1
2022-08-08,badge,80,4
2022-08-08,quota:placement:cars:new,330,1
2022-08-09,badge,80,4
2022-08-09,boost,600,4
2022-08-09,quota:placement:cars:new,330,1
2022-08-10,badge,80,4
2022-08-10,quota:placement:cars:new,330,1
2022-08-11,badge,80,4
2022-08-11,boost,300,2
2022-08-11,quota:placement:cars:new,330,1
2022-08-12,badge,80,4
2022-08-12,quota:placement:cars:new,330,1
2022-08-13,badge,80,4
2022-08-13,quota:placement:cars:new,330,1
2022-08-14,badge,80,4
2022-08-14,quota:placement:cars:new,330,1
2022-08-15,badge,80,4
2022-08-15,quota:placement:cars:new,330,1
2022-08-16,badge,60,3
2022-08-16,quota:placement:cars:new,330,1
2022-08-17,badge,60,3
2022-08-17,quota:placement:cars:new,330,1
2022-08-18,badge,60,3
2022-08-18,boost,450,3
2022-08-18,quota:placement:cars:new,330,1
2022-08-19,badge,60,3
2022-08-19,boost,300,2
2022-08-19,quota:placement:cars:new,330,1
2022-08-20,badge,60,3
2022-08-20,quota:placement:cars:new,330,1
2022-08-21,badge,60,3
2022-08-21,quota:placement:cars:new,330,1
2022-08-22,badge,60,3
2022-08-22,quota:placement:cars:new,330,1
2022-08-23,badge,60,3
2022-08-23,quota:placement:cars:new,330,1
2022-08-24,badge,60,3
2022-08-24,quota:placement:cars:new,330,1
2022-08-25,badge,60,3
2022-08-25,quota:placement:cars:new,330,1
2022-08-26,badge,60,3
2022-08-26,quota:placement:cars:new,330,1
2022-08-27,badge,60,3
2022-08-27,quota:placement:cars:new,330,1
2022-08-28,badge,60,3
2022-08-28,quota:placement:cars:new,330,1
2022-08-29,badge,60,3
2022-08-29,quota:placement:cars:new,330,1
2022-08-30,badge,60,3
2022-08-30,boost,1050,7
2022-08-30,premium,600,3
2022-08-30,quota:placement:cars:new,330,1
2022-08-31,badge,60,3
2022-08-31,premium,600,3
2022-08-31,quota:placement:cars:new,330,1
